iter	Passed	Remaining
0	14	14977
1	31	15535
2	44	14902
3	57	14430
4	70	14117
5	84	14081
6	98	13968
7	112	13945
8	126	13906
9	139	13850
10	153	13845
11	169	13965
12	185	14069
13	199	14052
14	212	13986
15	226	13905
16	240	13885
17	253	13843
18	265	13732
19	270	13230
20	272	12706
21	274	12207
22	276	11740
23	277	11305
24	279	10902
25	280	10526
26	282	10173
27	283	9840
28	284	9533
29	285	9242
30	287	8972
31	288	8718
32	289	8478
33	290	8255
34	291	8043
35	293	7847
36	294	7662
37	295	7485
38	296	7316
39	298	7156
40	299	7002
41	300	6855
42	301	6717
43	302	6583
44	304	6455
45	305	6332
46	306	6215
47	307	6103
48	308	5996
49	310	5892
50	311	5794
51	312	5698
52	313	5608
53	315	5521
54	316	5438
55	318	5375
56	319	5291
57	321	5216
58	322	5142
59	323	5069
60	324	4999
61	325	4931
62	327	4865
63	328	4801
64	329	4740
65	330	4679
66	331	4621
67	333	4565
68	334	4510
69	335	4456
70	336	4404
71	337	4353
72	338	4304
73	340	4256
74	341	4209
75	342	4164
76	343	4119
77	344	4076
78	346	4033
79	347	3993
80	348	3952
81	349	3913
82	350	3875
83	352	3838
84	353	3802
85	354	3766
86	355	3731
87	356	3698
88	358	3665
89	359	3632
90	360	3599
91	361	3567
92	362	3537
93	363	3506
94	365	3477
95	366	3453
96	368	3434
97	382	3517
98	395	3597
99	408	3677
100	422	3758
101	436	3839
102	448	3906
103	461	3973
104	474	4046
105	487	4113
106	500	4173
107	512	4234
108	525	4292
109	537	4347
110	550	4409
111	565	4484
112	580	4560
113	594	4619
114	607	4677
115	621	4735
116	634	4787
117	647	4836
118	660	4888
119	670	4919
120	674	4901
121	677	4872
122	679	4842
123	680	4809
124	682	4778
125	684	4745
126	685	4711
127	686	4679
128	688	4647
129	694	4644
130	709	4704
131	726	4775
132	742	4838
133	759	4907
134	789	5056
135	808	5137
136	833	5247
137	851	5317
138	871	5398
139	889	5465
140	906	5524
141	922	5571
142	937	5619
143	951	5658
144	966	5699
145	982	5749
146	998	5795
147	1012	5828
148	1017	5810
149	1020	5782
150	1022	5750
151	1024	5716
152	1026	5681
153	1027	5646
154	1029	5611
155	1030	5575
156	1031	5540
157	1036	5525
158	1050	5553
159	1062	5579
160	1076	5607
161	1090	5641
162	1102	5661
163	1115	5685
164	1128	5712
165	1141	5737
166	1155	5763
167	1171	5799
168	1185	5829
169	1199	5855
170	1213	5884
171	1226	5904
172	1240	5932
173	1254	5954
174	1267	5974
175	1279	5991
176	1292	6010
177	1305	6030
178	1318	6049
179	1332	6071
180	1346	6090
181	1358	6103
182	1362	6084
183	1365	6057
184	1368	6027
185	1370	5995
186	1371	5963
187	1373	5930
188	1374	5897
189	1375	5865
190	1380	5847
191	1392	5861
192	1405	5878
193	1418	5893
194	1430	5904
195	1442	5916
196	1455	5931
197	1467	5945
198	1479	5956
199	1491	5965
200	1503	5978
201	1516	5989
202	1528	6000
203	1541	6016
204	1557	6041
205	1573	6063
206	1587	6081
207	1601	6099
208	1615	6113
209	1627	6121
210	1640	6133
211	1653	6147
212	1668	6164
213	1681	6176
214	1695	6191
215	1704	6187
216	1707	6162
217	1710	6136
218	1712	6106
219	1713	6076
220	1715	6046
221	1716	6016
222	1717	5985
223	1718	5955
224	1720	5924
225	1721	5894
226	1722	5865
227	1723	5836
228	1724	5807
229	1726	5778
230	1727	5750
231	1728	5721
232	1729	5693
233	1730	5665
